model,sample,bitrate_kbps,payload_kb,elapsed_s,wer,error
xiaomi/mimo-v2-omni,2,24,63.4,4.786,0.0,
xiaomi/mimo-v2-omni,2,32,84.5,6.577,0.0,
xiaomi/mimo-v2-omni,2,48,126.6,5.275,0.014285714285714285,
xiaomi/mimo-v2-omni,2,64,168.8,4.352,0.0,
xiaomi/mimo-v2-omni,3,16,49.2,8.692,0.04,
xiaomi/mimo-v2-omni,3,24,73.7,5.75,0.04,
xiaomi/mimo-v2-omni,3,32,98.2,4.346,0.02666666666666667,
xiaomi/mimo-v2-omni,3,48,147.3,5.033,0.05333333333333334,
xiaomi/mimo-v2-omni,3,64,196.4,4.756,0.08,
xiaomi/mimo-v2-omni,4,16,44.9,3.329,0.04225352112676056,
xiaomi/mimo-v2-omni,4,24,67.2,4.513,0.04225352112676056,
xiaomi/mimo-v2-omni,4,32,89.5,4.119,0.014084507042253521,
xiaomi/mimo-v2-omni,4,48,134.2,2.285,,
xiaomi/mimo-v2-omni,4,64,178.9,3.66,,
openai/gpt-audio-mini,1,16,42.6,1.638,0.028985507246376812,
openai/gpt-audio-mini,1,24,63.8,1.614,0.0,
openai/gpt-audio-mini,1,32,85.0,1.58,0.0,
openai/gpt-audio-mini,1,48,127.4,1.677,0.0,
openai/gpt-audio-mini,1,64,169.9,1.723,0.0,
openai/gpt-audio-mini,2,16,42.3,1.245,0.9571428571428572,
openai/gpt-audio-mini,2,24,63.4,1.115,0.9714285714285714,
openai/gpt-audio-mini,2,32,84.5,1.578,1.2428571428571429,
openai/gpt-audio-mini,2,48,126.6,1.475,0.04285714285714286,
openai/gpt-audio-mini,2,64,168.8,1.556,0.0,
openai/gpt-audio-mini,3,16,49.2,1.742,0.06666666666666667,
openai/gpt-audio-mini,3,24,73.7,1.532,0.06666666666666667,
openai/gpt-audio-mini,3,32,98.2,1.367,0.9066666666666666,
openai/gpt-audio-mini,3,48,147.3,1.506,0.9733333333333334,
openai/gpt-audio-mini,3,64,196.4,1.766,1.1066666666666667,
openai/gpt-audio-mini,4,16,44.9,1.962,0.028169014084507043,
openai/gpt-audio-mini,4,24,67.2,1.417,0.056338028169014086,
openai/gpt-audio-mini,4,32,89.5,2.527,0.014084507042253521,
openai/gpt-audio-mini,4,48,134.2,1.621,0.028169014084507043,
openai/gpt-audio-mini,4,64,178.9,1.642,0.014084507042253521,
google/gemini-2.5-pro,1,16,42.6,3.028,0.028985507246376812,
google/gemini-2.5-pro,1,24,63.8,11.123,0.0,
google/gemini-2.5-pro,1,32,85.0,6.011,0.014492753623188406,
google/gemini-2.5-pro,1,48,127.4,6.558,0.028985507246376812,
google/gemini-2.5-pro,1,64,169.9,6.807,0.014492753623188406,
google/gemini-2.5-pro,2,16,42.3,7.423,0.0,
google/gemini-2.5-pro,2,24,63.4,2.952,0.0,
google/gemini-2.5-pro,2,32,84.5,5.393,0.0,
google/gemini-2.5-pro,2,48,126.6,8.264,0.0,
google/gemini-2.5-pro,2,64,168.8,7.709,0.0,
google/gemini-2.5-pro,3,16,49.2,6.631,0.02666666666666667,
google/gemini-2.5-pro,3,24,73.7,5.131,0.04,
google/gemini-2.5-pro,3,32,98.2,7.295,0.013333333333333334,
google/gemini-2.5-pro,3,48,147.3,6.43,0.04,
google/gemini-2.5-pro,3,64,196.4,8.944,0.02666666666666667,
google/gemini-2.5-pro,4,16,44.9,6.379,0.04225352112676056,
google/gemini-2.5-pro,4,24,67.2,8.917,0.014084507042253521,
google/gemini-2.5-pro,4,32,89.5,7.866,0.028169014084507043,
google/gemini-2.5-pro,4,48,134.2,12.349,0.028169014084507043,
google/gemini-2.5-pro,4,64,178.9,8.58,0.028169014084507043,
openai/gpt-audio,1,16,42.6,2.086,0.0,
openai/gpt-audio,1,24,63.8,1.62,0.0,
openai/gpt-audio,1,32,85.0,1.722,0.0,
openai/gpt-audio,1,48,127.4,1.585,0.0,
openai/gpt-audio,1,64,169.9,1.475,0.0,
openai/gpt-audio,2,16,42.3,1.332,0.0,
openai/gpt-audio,2,24,63.4,1.434,0.0,
openai/gpt-audio,2,32,84.5,1.47,0.0,
openai/gpt-audio,2,48,126.6,1.613,0.0,
openai/gpt-audio,2,64,168.8,1.477,0.9571428571428572,
openai/gpt-audio,3,16,49.2,1.745,0.9333333333333333,
openai/gpt-audio,3,24,73.7,1.571,0.02666666666666667,
openai/gpt-audio,3,32,98.2,1.901,0.013333333333333334,
openai/gpt-audio,3,48,147.3,2.402,0.8933333333333333,
openai/gpt-audio,3,64,196.4,1.786,0.0,
openai/gpt-audio,4,16,44.9,1.174,1.0,
openai/gpt-audio,4,24,67.2,1.745,0.028169014084507043,
openai/gpt-audio,4,32,89.5,1.601,0.028169014084507043,
openai/gpt-audio,4,48,134.2,1.712,0.028169014084507043,
openai/gpt-audio,4,64,178.9,1.783,0.04225352112676056,
openai/gpt-4o-audio-preview,1,16,42.6,1.732,0.0,
openai/gpt-4o-audio-preview,1,24,63.8,1.769,0.0,
openai/gpt-4o-audio-preview,1,32,85.0,1.765,0.0,
openai/gpt-4o-audio-preview,1,48,127.4,1.618,0.0,
openai/gpt-4o-audio-preview,1,64,169.9,1.722,0.0,
openai/gpt-4o-audio-preview,2,16,42.3,1.7,0.0,
openai/gpt-4o-audio-preview,2,24,63.4,1.616,0.0,
openai/gpt-4o-audio-preview,2,32,84.5,1.58,0.0,
openai/gpt-4o-audio-preview,2,48,126.6,1.769,1.042857142857143,
openai/gpt-4o-audio-preview,2,64,168.8,2.134,0.0,
openai/gpt-4o-audio-preview,3,16,49.2,2.247,0.06666666666666667,
openai/gpt-4o-audio-preview,3,24,73.7,2.573,0.17333333333333334,
openai/gpt-4o-audio-preview,3,32,98.2,1.94,0.04,
openai/gpt-4o-audio-preview,3,48,147.3,1.603,0.9333333333333333,
openai/gpt-4o-audio-preview,3,64,196.4,2.5,1.1333333333333333,
openai/gpt-4o-audio-preview,4,16,44.9,1.774,0.028169014084507043,
openai/gpt-4o-audio-preview,4,24,67.2,1.649,0.04225352112676056,
openai/gpt-4o-audio-preview,4,32,89.5,2.292,0.04225352112676056,
openai/gpt-4o-audio-preview,4,48,134.2,1.543,0.028169014084507043,
openai/gpt-4o-audio-preview,4,64,178.9,1.614,0.028169014084507043,
